str	G2	FW	PVB	SKT	IG	TL
222222222222	t	f	f	t	t	t
122222222222	t	f	f	t	t	t
212222222222	t	m	m	t	t	m
112222222222	t	f	m	t	t	m
221222222222	t	f	f	t	t	t
121222222222	t	f	f	t	t	t
211222222222	t	m	m	t	t	m
111222222222	t	f	m	t	t	m
222122222222	t	t	f	f	t	t
122122222222	t	m	f	m	t	t
212122222222	t	t	m	m	t	m
112122222222	t	m	m	m	t	m
221122222222	t	t	f	f	t	t
121122222222	t	m	f	m	t	t
211122222222	t	t	m	m	t	m
111122222222	t	m	m	m	t	m
222212222222	t	m	f	t	t	m
122212222222	t	f	f	t	t	t
212212222222	t	m	m	t	t	f
112212222222	t	f	t	t	t	f
221212222222	t	m	f	t	t	m
121212222222	t	f	f	t	t	t
211212222222	t	m	m	t	t	f
111212222222	t	f	t	t	t	f
222112222222	t	t	f	m	t	m
122112222222	t	m	f	m	t	m
212112222222	t	t	f	t	t	f
112112222222	t	m	m	m	t	f
221112222222	t	t	f	m	t	m
121112222222	t	m	f	m	t	m
211112222222	t	t	f	t	t	f
111112222222	t	m	m	m	t	f
222221222222	t	m	m	m	t	t
122221222222	t	f	m	m	t	t
212221222222	t	m	t	m	t	m
112221222222	t	f	t	m	t	m
221221222222	t	m	m	m	t	t
121221222222	t	f	m	m	t	t
211221222222	t	m	t	m	t	m
111221222222	t	f	t	m	t	m
222121222222	t	t	f	f	t	t
122121222222	t	m	m	f	t	t
212121222222	t	t	t	f	t	f
112121222222	t	m	t	f	t	m
221121222222	t	t	f	f	t	t
121121222222	t	m	m	f	t	t
211121222222	t	t	t	f	t	f
111121222222	t	m	t	f	t	m
222211222222	t	m	m	m	t	m
122211222222	t	f	m	m	t	m
212211222222	t	f	t	t	t	f
112211222222	t	f	t	t	t	f
221211222222	t	m	m	m	t	m
121211222222	t	f	m	m	t	m
211211222222	t	f	t	t	t	f
111211222222	t	f	t	t	t	f
222111222222	t	t	f	f	t	t
122111222222	t	m	m	f	t	m
212111222222	t	t	t	f	t	f
112111222222	t	t	t	f	t	f
221111222222	t	t	f	f	t	t
121111222222	t	m	m	f	t	m
211111222222	t	t	t	f	t	f
111111222222	t	t	t	f	t	f
222222122222	t	m	f	t	t	m
122222122222	t	f	f	t	t	t
212222122222	t	m	m	t	t	f
112222122222	t	f	t	t	t	f
221222122222	t	m	f	t	t	m
121222122222	t	f	f	t	t	t
211222122222	t	m	m	t	t	f
111222122222	t	f	t	t	t	f
222122122222	t	t	f	t	t	f
122122122222	t	m	f	t	t	m
212122122222	t	t	f	t	t	f
112122122222	t	m	m	t	t	f
221122122222	t	t	f	t	t	f
121122122222	t	m	f	t	t	m
211122122222	t	t	f	t	t	f
111122122222	t	m	m	t	t	f
222212122222	t	t	f	t	t	f
122212122222	t	m	m	t	t	m
212212122222	t	m	m	t	t	f
112212122222	t	f	t	t	t	f
221212122222	t	t	f	t	t	f
121212122222	t	m	m	t	t	m
211212122222	t	m	m	t	t	f
111212122222	t	f	t	t	t	f
222112122222	t	t	f	t	t	f
122112122222	t	t	f	t	t	f
212112122222	t	t	f	t	t	f
112112122222	t	m	m	t	t	f
221112122222	t	t	f	t	t	f
121112122222	t	t	f	t	t	f
211112122222	t	t	f	t	t	f
111112122222	t	m	m	t	t	f
222221122222	t	m	m	t	t	m
122221122222	t	f	f	t	t	t
212221122222	t	f	t	t	t	f
112221122222	t	f	t	t	t	f
221221122222	t	m	m	t	t	m
121221122222	t	f	f	t	t	t
211221122222	t	f	t	t	t	f
111221122222	t	f	t	t	t	f
222121122222	t	t	m	m	t	m
122121122222	t	m	m	m	t	m
212121122222	t	t	t	f	t	f
112121122222	t	m	t	m	t	f
221121122222	t	t	m	m	t	m
121121122222	t	m	m	m	t	m
211121122222	t	t	t	f	t	f
111121122222	t	m	t	m	t	f
222211122222	t	m	m	t	t	f
122211122222	t	f	t	t	t	f
212211122222	t	f	t	t	t	f
112211122222	t	f	t	t	t	f
221211122222	t	m	m	t	t	f
121211122222	t	f	t	t	t	f
211211122222	t	f	t	t	t	f
111211122222	t	f	t	t	t	f
222111122222	t	t	m	m	t	f
122111122222	t	m	m	m	t	f
212111122222	t	t	t	f	t	f
112111122222	t	m	t	m	t	f
221111122222	t	t	m	m	t	f
121111122222	t	m	m	m	t	f
211111122222	t	t	t	f	t	f
111111122222	t	m	t	m	t	f
222222212222	t	f	f	t	t	t
122222212222	t	f	f	t	t	t
212222212222	t	m	f	t	t	m
112222212222	t	f	f	t	t	t
221222212222	t	f	f	t	t	t
121222212222	t	f	f	t	t	t
211222212222	t	m	f	t	t	m
111222212222	t	f	f	t	t	t
222122212222	t	t	f	f	t	t
122122212222	t	m	f	m	t	t
212122212222	t	t	f	m	t	m
112122212222	t	m	f	m	t	m
221122212222	t	t	f	f	t	t
121122212222	t	m	f	m	t	t
211122212222	t	t	f	m	t	m
111122212222	t	m	f	m	t	m
222212212222	t	m	f	t	t	m
122212212222	t	f	f	t	t	t
212212212222	t	t	f	t	t	f
112212212222	t	m	m	t	t	m
221212212222	t	m	f	t	t	m
121212212222	t	f	f	t	t	t
211212212222	t	t	f	t	t	f
111212212222	t	m	m	t	t	m
222112212222	t	t	f	m	t	m
122112212222	t	m	f	m	t	m
212112212222	t	t	f	t	t	f
112112212222	t	t	f	t	t	f
221112212222	t	t	f	m	t	m
121112212222	t	m	f	m	t	m
211112212222	t	t	f	t	t	f
111112212222	t	t	f	t	t	f
222221212222	t	f	f	t	t	t
122221212222	t	f	f	t	t	t
212221212222	t	m	m	m	t	m
112221212222	t	f	m	m	t	m
221221212222	t	f	f	t	t	t
121221212222	t	f	f	t	t	t
211221212222	t	m	m	m	t	m
111221212222	t	f	m	m	t	m
222121212222	t	t	f	f	t	t
122121212222	t	t	f	f	t	t
212121212222	t	t	m	f	t	m
112121212222	t	m	m	f	t	m
221121212222	t	t	f	f	t	t
121121212222	t	t	f	f	t	t
211121212222	t	t	m	f	t	m
111121212222	t	m	m	f	t	m
222211212222	t	m	f	m	t	m
122211212222	t	f	f	t	t	t
212211212222	t	m	m	m	t	f
112211212222	t	f	t	t	t	f
221211212222	t	m	f	m	t	m
121211212222	t	f	f	t	t	t
211211212222	t	m	m	m	t	f
111211212222	t	f	t	t	t	f
222111212222	t	t	f	f	t	t
122111212222	t	t	f	f	t	t
212111212222	t	t	t	f	t	f
112111212222	t	t	t	f	t	f
221111212222	t	t	f	f	t	t
121111212222	t	t	f	f	t	t
211111212222	t	t	t	f	t	f
111111212222	t	t	t	f	t	f
222222112222	t	m	f	t	t	m
122222112222	t	f	f	t	t	t
212222112222	t	t	f	t	t	f
112222112222	t	m	m	t	t	m
221222112222	t	m	f	t	t	m
121222112222	t	f	f	t	t	t
211222112222	t	t	f	t	t	f
111222112222	t	m	m	t	t	m
222122112222	t	t	f	t	t	f
122122112222	t	m	f	t	t	m
212122112222	t	t	f	t	t	f
112122112222	t	t	f	t	t	f
221122112222	t	t	f	t	t	f
121122112222	t	m	f	t	t	m
211122112222	t	t	f	t	t	f
111122112222	t	t	f	t	t	f
222212112222	t	t	f	t	t	f
122212112222	t	m	f	t	t	m
212212112222	t	t	f	t	t	f
112212112222	t	m	m	t	t	f
221212112222	t	t	f	t	t	f
121212112222	t	m	f	t	t	m
211212112222	t	t	f	t	t	f
111212112222	t	m	m	t	t	f
222112112222	t	t	f	t	t	f
122112112222	t	t	f	t	t	f
212112112222	t	t	f	t	t	f
112112112222	t	t	f	t	t	f
221112112222	t	t	f	t	t	f
121112112222	t	t	f	t	t	f
211112112222	t	t	f	t	t	f
111112112222	t	t	f	t	t	f
222221112222	t	m	f	t	t	m
122221112222	t	f	f	t	t	t
212221112222	t	m	m	t	t	f
112221112222	t	f	t	t	t	f
221221112222	t	m	f	t	t	m
121221112222	t	f	f	t	t	t
211221112222	t	m	m	t	t	f
111221112222	t	f	t	t	t	f
222121112222	t	t	f	t	t	f
122121112222	t	m	f	m	t	m
212121112222	t	t	m	m	t	f
112121112222	t	m	m	m	t	f
221121112222	t	t	f	t	t	f
121121112222	t	m	f	m	t	m
211121112222	t	t	m	m	t	f
111121112222	t	m	m	m	t	f
222211112222	t	t	f	t	t	f
122211112222	t	m	m	t	t	m
212211112222	t	m	m	t	t	f
112211112222	t	f	t	t	t	f
221211112222	t	t	f	t	t	f
